Alter von,Alter bis unter,"Deutsche, männlich","Deutsche, weiblich","Ausländer, männlich","Ausländer, weiblich",Deutsche,Ausländer,"Wohnbevölkerung, männlich","Wohnbevölkerung, weiblich","Wohnbevölkerung, insgesamt"
0,1,436,414,137,121,850,258,573,535,1108
1,2,493,452,142,113,945,255,635,565,1200
2,3,486,468,144,137,954,281,630,605,1235
3,4,474,432,140,120,906,260,614,552,1166
4,5,471,441,144,140,912,284,615,581,1196
5,6,485,449,145,119,934,264,630,568,1198
6,7,489,423,116,108,912,224,605,531,1136
7,8,496,437,111,130,933,241,607,567,1174
8,9,470,448,117,130,918,247,587,578,1165
9,10,505,423,139,121,928,260,644,544,1188
10,11,458,448,148,128,906,276,606,576,1182
11,12,477,446,119,132,923,251,596,578,1174
12,13,491,463,126,119,954,245,617,582,1199
13,14,478,437,144,116,915,260,622,553,1175
14,15,473,419,131,124,892,255,604,543,1147
15,16,464,482,161,114,946,275,625,596,1221
16,17,460,490,136,114,950,250,596,604,1200
17,18,451,493,142,93,944,235,593,586,1179
18,19,468,510,159,106,978,265,627,616,1243
19,20,565,564,199,130,1129,329,764,694,1458
20,21,599,683,180,152,1282,332,779,835,1614
21,22,637,734,207,148,1371,355,844,882,1726
22,23,629,804,229,196,1433,425,858,1000,1858
23,24,675,782,306,238,1457,544,981,1020,2001
24,25,777,776,364,296,1553,660,1141,1072,2213
25,26,756,813,386,289,1569,675,1142,1102,2244
26,27,741,744,419,317,1485,736,1160,1061,2221
27,28,820,752,431,333,1572,764,1251,1085,2336
28,29,778,731,437,301,1509,738,1215,1032,2247
29,30,741,687,415,353,1428,768,1156,1040,2196
30,31,763,701,412,318,1464,730,1175,1019,2194
31,32,774,665,434,344,1439,778,1208,1009,2217
32,33,698,630,422,319,1328,741,1120,949,2069
33,34,740,653,415,338,1393,753,1155,991,2146
34,35,695,626,391,338,1321,729,1086,964,2050
35,36,655,575,367,320,1230,687,1022,895,1917
36,37,648,585,355,271,1233,626,1003,856,1859
37,38,625,576,351,295,1201,646,976,871,1847
38,39,604,564,308,273,1168,581,912,837,1749
39,40,589,557,313,244,1146,557,902,801,1703
40,41,548,575,279,252,1123,531,827,827,1654
41,42,571,587,272,281,1158,553,843,868,1711
42,43,563,616,287,291,1179,578,850,907,1757
43,44,564,570,286,276,1134,562,850,846,1696
44,45,536,536,259,285,1072,544,795,821,1616
45,46,525,542,299,285,1067,584,824,827,1651
46,47,496,501,260,250,997,510,756,751,1507
47,48,509,519,260,287,1028,547,769,806,1575
48,49,507,523,276,260,1030,536,783,783,1566
49,50,518,544,262,253,1062,515,780,797,1577
50,51,508,530,248,229,1038,477,756,759,1515
51,52,563,553,224,216,1116,440,787,769,1556
52,53,615,589,214,215,1204,429,829,804,1633
53,54,653,573,232,226,1226,458,885,799,1684
54,55,714,667,196,194,1381,390,910,861,1771
55,56,677,727,208,199,1404,407,885,926,1811
56,57,665,671,172,161,1336,333,837,832,1669
57,58,753,673,178,182,1426,360,931,855,1786
58,59,668,738,172,156,1406,328,840,894,1734
59,60,645,677,162,149,1322,311,807,826,1633
60,61,704,696,142,126,1400,268,846,822,1668
61,62,689,641,144,117,1330,261,833,758,1591
62,63,662,669,123,126,1331,249,785,795,1580
63,64,625,681,102,131,1306,233,727,812,1539
64,65,568,625,71,128,1193,199,639,753,1392
65,66,553,630,74,113,1183,187,627,743,1370
66,67,533,614,88,108,1147,196,621,722,1343
67,68,491,603,94,120,1094,214,585,723,1308
68,69,493,569,78,136,1062,214,571,705,1276
69,70,455,555,68,144,1010,212,523,699,1222
70,71,443,524,66,126,967,192,509,650,1159
71,72,451,511,95,122,962,217,546,633,1179
72,73,402,469,79,89,871,168,481,558,1039
73,74,424,505,97,110,929,207,521,615,1136
74,75,391,525,90,111,916,201,481,636,1117
75,76,336,506,94,87,842,181,430,593,1023
76,77,326,412,83,88,738,171,409,500,909
77,78,316,414,84,76,730,160,400,490,890
78,79,241,314,54,58,555,112,295,372,667
79,80,299,491,59,55,790,114,358,546,904
80,81,332,440,44,31,772,75,376,471,847
81,82,335,431,47,45,766,92,382,476,858
82,83,369,524,48,36,893,84,417,560,977
83,84,343,494,32,37,837,69,375,531,906
84,85,342,471,44,20,813,64,386,491,877
85,86,280,400,28,29,680,57,308,429,737
86,87,224,393,17,23,617,40,241,416,657
87,88,207,346,12,15,553,27,219,361,580
88,89,159,292,10,14,451,24,169,306,475
89,90,114,212,10,8,326,18,124,220,344
90,älter,364,842,20,27,1206,47,384,869,1253